item_id,item_geohash,item_category
100014006,,3064
100030948,,10544
100037683,,12067
100039010,,10501
100040963,,3960
100051766,,2284
100059164,,10120
100061067,,5801
100065317,,10120
100072758,,8698
10007479,,3660
100079886,,5351
100087424,,12630
10008832,,4869
100099471,,9614
100102562,,10431
100107242,,7995
100109311,,5002
100113607,,10012
100120902,,6272
100123123,,1963
100131282,9623i9i,5946
100131282,975cwmu,5946
100131976,,12158
100133820,,2158
1001348,,10120
100138363,,7350
100138636,,10356
100140157,,12221
100140443,,3956
100143067,,11422
100144976,,3660
100158409,,3660
10015902,,10356
100159864,,2936
100160723,,10431
100170115,,9450
100181080,,8179
100196204,,12538
100204085,,2252
100205703,,12630
10021185,,10063
100218773,,7995
100220609,,10431
100229135,,8270
100239051,,3451
100256077,,12067
100259197,,6631
100260732,,12090
100261596,,10120
100268464,,11406
100271662,,2683
100276992,,10431
10027777,,11406
100289073,,8179
100289627,,3660
100295175,,3660
100299687,,3660
100300505,,11991
10031206,,5153
100314672,,6648
10031596,,1213
10031611,,2284
100317151,956ml2l,11303
100322900,,6648
100331016,,8662
100332264,,6648
100332276,,11376
100340303,,10431
100340824,947bcoo,3487
100340824,94jq1w5,3487
100340824,95nj1pb,3487
100340824,99cuein,3487
100340824,99nfb2a,3487
100342292,,8561
100344860,,8099
100351009,,12090
100355069,,8179
100355474,,9232
100356597,956mnlq,4657
10035841,,10544
10035870,,4245
100364386,,10735
100366602,,6456
100367018,,5273
100367512,,7995
100368114,,11236
100375983,,10431
100376308,,8270
100381619,,10544
100385235,,1649
100387705,,5988
100388465,,5962
100388853,,12538
100390101,,3064
100399946,,4864
100400151,,10349
100403340,,7939
100412102,,10582
100414664,,10120
100426884,,9232
100427312,,1801
100431713,,6648
100438258,,10616
100458151,,2284
100459407,,7978
100460,,11991
10047099,,10356
100472106,,8243
100476666,,6648
100482798,,11376
100485114,,10085
100485302,,7876
100485788,,11497
100490536,,12090
100491619,,9614
100494983,,10033
100497409,,11406
100499719,,12170
100506784,,12370
100512289,,7791
100516548,,3812
100521256,,7198
10052519,,9933
100525877,,4245
100528415,,9569
100531936,,10431
100533134,,7876
100535921,,6417
100566419,,9450
100573997,,10015
100576512,,8058
100577424,,9450
100579626,,3925
100583185,,6304
100583438,,3846
100587749,,1032
100591666,,12375
100597527,,5324
100598448,,3397
10061010,,7876
100614797,,1963
100619389,,8561
100619411,,10662
100625801,,11406
100627052,,5884
100628280,,6648
100636192,,3956
100646377,,10356
100653116,,12996
100662742,,4533
100663236,,10431
100663811,,8094
100667996,,10431
100669497,94j79kk,3708
100694538,,6247
100696819,,9614
100697748,,8724
100700605,,9757
100711641,95q4awr,9569
100714773,,11991
100716068,,7850
100722237,,13547
100726089,,1954
100735786,,7140
100748748,,7350
100757851,,12570
100760071,,2284
100771438,,12630
10077250,,12221
100772898,,198
100783123,,12170
100783805,,6648
10078409,,279
100784394,,7995
100785443,,1954
100793382,,6247
100794828,,3064
100796010,,10431
100797386,,10356
100811827,95q66re,10544
100815314,,3017
100819810,,10431
100820090,,10544
100826006,95qu6l9,4657
100826006,9rdm3iw,4657
100826473,,9450
100830211,,10120
100848193,,7572
100856992,,2568
100858912,,5273
100860765,,12370
100863454,,9569
100875691,,12688
100877767,,10582
100884666,,9569
100887298,,7350
100888914,,4230
100889146,,9569
100896763,,3064
100897418,,8561
100905792,,8254
100909731,,5446
100911723,,7350
100928958,,4533
100929944,,4778
100930913,,10582
100940440,,8642
100941874,,8234
100946254,,11406
1009492,,12761
100959198,954fo51,4224
100963735,,2029
100967399,,8234
100970659,,4830
100978098,,10431
100980032,,10734
100981486,,7769
10098576,,8099
101002291,,4830
101003646,,10431
101005346,,1169
101006057,,7350
101008121,,9450
101018406,95qqvdw,3618
101018406,99nfcoh,3618
101019278,,94
101019933,,1963
10102286,,9569
101024933,,10544
101025600,,8099
101025907,,8561
101033826,,12326
101039359,,11991
101041310,,4245
101050774,,12326
101052113,,9614
10105510,,5533
101056506,,6526
101056931,,332
101059724,,4778
101062548,,7350
101068803,,12170
101074056,,6648
101074771,,332
101076778,,9614
101092697,,10412
101096634,,5712
101101705,,9757
101112261,,8792
10111343,,12067
101114423,,237
101117362,,10356
101127402,,9614
101130764,,10120
101131486,95q4awr,9155
101133711,,6247
101134428,,3064
101134700,,6526
101134941,,4778
101141450,,3064
101142026,,8099
101142079,,8952
10116424,,12170
101164553,,2284
101173074,,11406
101179992,,1726
101180712,,3064
101181073,,10290
101182027,,11406
101184907,,11236
101188629,,4582
101189651,,7939
101193502,,1213
101199129,,12407
101199353,,7311
101202211,,2284
101222811,,10544
10123210,,5712
101238643,,9569
101244800,,7467
10124519,,3064
101245670,,6648
101245834,,198
101251251,,10825
101255365,,11406
101258725,,9569
101259283,,13547
101264318,,11406
10126592,,10431
101266733,,12407
101267937,,13672
101283196,,4245
101286426,,1954
101294547,,12090
101297036,,5320
101298410,,4396
101298868,,5337
101301969,,5320
101305447,,4008
101305910,,8710
