user_id,item_id,behavior_type,user_geohash,item_category,time
77404236,306224045,1,,9023,2014-11-24 19
77404236,321344925,4,,3424,2014-11-25 20
77404236,393135256,1,,11623,2014-12-06 23
77404236,277463747,1,,451,2014-12-17 20
77404236,38563179,1,,8432,2014-12-17 17
77404236,135800317,1,,4676,2014-12-17 20
77404236,351904813,1,,3424,2014-11-25 20
77404236,52098442,1,94h7jn9,11623,2014-11-26 15
77404236,279165116,1,,4582,2014-12-17 17
77404236,139075218,1,,5027,2014-12-05 00
77404236,139075218,1,,5027,2014-12-05 00
77404236,128688281,1,,4640,2014-12-17 20
77404236,90705389,1,,8254,2014-12-15 16
77404236,215814621,1,,10599,2014-11-19 21
77404236,339565349,1,,10599,2014-11-19 21
77404236,7171927,1,,12326,2014-12-17 17
77404236,391434030,1,94h7j6c,4365,2014-12-02 08
77404236,115180664,1,,8877,2014-11-25 20
77404236,143996389,1,,11623,2014-12-04 23
77404236,101425547,1,,3321,2014-12-17 17
77404236,363586606,1,,11623,2014-12-17 17
77404236,12687253,1,,1488,2014-12-06 23
77404236,321344925,1,,3424,2014-11-25 20
77404236,321344925,1,,3424,2014-11-25 20
77404236,321344925,1,,3424,2014-11-25 20
77404236,44140954,1,,11623,2014-12-15 16
77404236,7171927,1,,12326,2014-12-17 17
77404236,335333926,1,,3628,2014-12-15 16
77404236,257688734,1,,3424,2014-11-25 19
77404236,173309748,1,,3673,2014-12-15 16
77404236,128306863,1,94h7j7h,7182,2014-11-26 15
77404236,359894945,1,94h7j7n,11537,2014-12-16 21
77404236,305131931,1,,11652,2014-12-06 23
77404236,201038711,1,,8877,2014-11-25 20
77404236,111748337,1,,1396,2014-12-17 17
77404236,366180043,1,94h7j1s,11537,2014-12-16 21
77404236,32308926,1,,3381,2014-12-05 00
77404236,393135256,1,,11623,2014-12-06 23
77404236,344196912,1,,3628,2014-12-06 23
77404236,366180043,1,94h7jn9,11537,2014-12-16 21
77404236,101775533,1,,11623,2014-12-04 23
77404236,292262227,1,,1396,2014-12-06 23
77404236,12882372,1,,3424,2014-11-25 20
77404236,198240119,1,,3424,2014-12-17 20
77404236,123675213,1,,11623,2014-11-24 19
77404236,501536,1,,3424,2014-11-25 20
77404236,76234373,1,94h7j7l,6513,2014-12-02 08
77404236,143996389,1,,11623,2014-12-04 23
77404236,267198528,1,,552,2014-12-17 17
77404236,201038711,1,,8877,2014-11-25 20
77404236,257688734,1,,3424,2014-11-25 19
77404236,288484735,1,,7266,2014-11-26 00
77404236,101775533,1,,11623,2014-12-04 23
77404236,240721370,1,94h7jhw,8561,2014-12-02 08
77404236,344196912,1,,3628,2014-12-06 23
77404236,339565349,1,,10599,2014-11-19 21
77404236,3566391,1,,3381,2014-12-12 08
77404236,309841386,1,,4999,2014-12-17 20
77404236,111748337,1,,1396,2014-12-17 17
77404236,335626796,1,,11589,2014-12-17 17
